Station,Lat,Lon,Timestamp,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,AQI,Type
Dewas - Kailash Nagar,22.95,76.05,2025-11-16 01:41:45,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Hatpipliya Road,22.93,76.07,2025-11-16 01:41:45,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Dewas - Kalani Nagar,22.97,76.09,2025-11-16 01:41:45,318.13,0.02,3.74,65.79,2.63,44.11,57.48,8.68,3,Live
Indore - MG Road,22.718,75.847,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Vijay Nagar,22.735,75.88,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - AB Road,22.726,75.889,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Rau,22.74,75.83,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Palasia,22.72,75.88,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Rajwada,22.7196,75.855,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Airport Road,22.72,75.8,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Bhawarkua,22.72,75.84,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Annapurna,22.7,75.86,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Sanwer Road Industrial,22.79,75.84,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Ring Road,22.74,75.88,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - CAT Road,22.78,75.86,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Mhow Naka,22.69,75.87,2025-11-16 02:41:42,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Bhopal - MP Nagar,23.238,77.4125,2025-11-16 02:41:42,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Habibganj,23.26,77.398,2025-11-16 02:41:42,341.15,0.33,3.34,64.91,2.03,41.83,50.65,9.69,3,Live
Bhopal - Arera Hills,23.251,77.412,2025-11-16 02:41:42,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Ayodhya Bypass,23.267,77.435,2025-11-16 02:41:42,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Lalghati,23.285,77.383,2025-11-16 02:41:42,341.15,0.33,3.34,64.91,2.03,41.83,50.65,9.69,3,Live
Bhopal - Kolar Road,23.2,77.43,2025-11-16 02:41:42,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Bairagarh,23.29,77.36,2025-11-16 02:41:42,341.15,0.33,3.34,64.91,2.03,41.83,50.65,9.69,3,Live
Bhopal - Govindpura Industrial,23.26,77.47,2025-11-16 02:41:42,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Misrod,23.2,77.49,2025-11-16 02:41:42,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - BHEL Area,23.27,77.49,2025-11-16 02:41:42,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Shahpura,23.21,77.43,2025-11-16 02:41:42,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Piplani,23.25,77.48,2025-11-16 02:41:42,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Ashoka Garden,23.27,77.42,2025-11-16 02:41:42,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Ujjain - Freeganj,23.18,75.78,2025-11-16 02:41:42,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Nanakheda,23.16,75.79,2025-11-16 02:41:42,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Mahakal,23.18,75.77,2025-11-16 02:41:42,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Dewas Gate,23.19,75.79,2025-11-16 02:41:42,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Vikram Nagar,23.2,75.82,2025-11-16 02:41:42,390.53,0.77,6.32,41.96,2.75,49.19,64.03,11.8,3,Live
Ujjain - Engineering College Road,23.21,75.82,2025-11-16 02:41:42,390.53,0.77,6.32,41.96,2.75,49.19,64.03,11.8,3,Live
Ujjain - Agar Road,23.21,75.78,2025-11-16 02:41:42,389.53,0.68,6.19,44.4,2.87,50.22,65.57,11.51,4,Live
Ujjain - Indore Road,23.18,75.81,2025-11-16 02:41:42,357.54,0.56,5.1,58.86,3.08,46.4,60.48,10.02,3,Live
Ujjain - Industrial Area,23.22,75.8,2025-11-16 02:41:42,390.53,0.77,6.32,41.96,2.75,49.19,64.03,11.8,3,Live
Ujjain - Railway Station,23.19,75.79,2025-11-16 02:41:42,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Jaisinghpura,23.2,75.79,2025-11-16 02:41:42,389.53,0.68,6.19,44.4,2.87,50.22,65.57,11.51,4,Live
Ujjain - Gopal Mandir,23.18,75.79,2025-11-16 02:41:42,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Dewas - City Center,22.97,76.05,2025-11-16 02:41:42,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Industrial Area,22.95,76.07,2025-11-16 02:41:42,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Uday Nagar,23.01,76.09,2025-11-16 02:41:42,360.24,0.62,5.2,56.36,3.01,45.87,59.53,10.31,3,Live
Dewas - Station Road,22.97,76.06,2025-11-16 02:41:42,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - A.B. Road,22.96,76.07,2025-11-16 02:41:42,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Rajendra Nagar,22.98,76.05,2025-11-16 02:41:42,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Bavlia,22.95,76.1,2025-11-16 02:41:42,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Bhopal Road,22.99,76.08,2025-11-16 02:41:42,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Meera Nagar,22.96,76.04,2025-11-16 02:41:42,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Kailash Nagar,22.95,76.05,2025-11-16 02:41:42,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Hatpipliya Road,22.93,76.07,2025-11-16 02:41:42,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Kalani Nagar,22.97,76.09,2025-11-16 02:41:42,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Indore - MG Road,22.718,75.847,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Vijay Nagar,22.735,75.88,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - AB Road,22.726,75.889,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Rau,22.74,75.83,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Palasia,22.72,75.88,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Rajwada,22.7196,75.855,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Airport Road,22.72,75.8,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Bhawarkua,22.72,75.84,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Annapurna,22.7,75.86,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Sanwer Road Industrial,22.79,75.84,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Ring Road,22.74,75.88,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - CAT Road,22.78,75.86,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Mhow Naka,22.69,75.87,2025-11-16 02:54:47,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Bhopal - MP Nagar,23.238,77.4125,2025-11-16 02:54:47,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Habibganj,23.26,77.398,2025-11-16 02:54:47,341.15,0.33,3.34,64.91,2.03,41.83,50.65,9.69,3,Live
Bhopal - Arera Hills,23.251,77.412,2025-11-16 02:54:47,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Ayodhya Bypass,23.267,77.435,2025-11-16 02:54:47,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Lalghati,23.285,77.383,2025-11-16 02:54:47,341.15,0.33,3.34,64.91,2.03,41.83,50.65,9.69,3,Live
Bhopal - Kolar Road,23.2,77.43,2025-11-16 02:54:47,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Bairagarh,23.29,77.36,2025-11-16 02:54:47,341.15,0.33,3.34,64.91,2.03,41.83,50.65,9.69,3,Live
Bhopal - Govindpura Industrial,23.26,77.47,2025-11-16 02:54:47,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Misrod,23.2,77.49,2025-11-16 02:54:47,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - BHEL Area,23.27,77.49,2025-11-16 02:54:47,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Shahpura,23.21,77.43,2025-11-16 02:54:47,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Piplani,23.25,77.48,2025-11-16 02:54:47,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Ashoka Garden,23.27,77.42,2025-11-16 02:54:47,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Ujjain - Freeganj,23.18,75.78,2025-11-16 02:54:47,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Nanakheda,23.16,75.79,2025-11-16 02:54:47,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Mahakal,23.18,75.77,2025-11-16 02:54:47,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Dewas Gate,23.19,75.79,2025-11-16 02:54:47,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Vikram Nagar,23.2,75.82,2025-11-16 02:54:47,390.53,0.77,6.32,41.96,2.75,49.19,64.03,11.8,3,Live
Ujjain - Engineering College Road,23.21,75.82,2025-11-16 02:54:47,390.53,0.77,6.32,41.96,2.75,49.19,64.03,11.8,3,Live
Ujjain - Agar Road,23.21,75.78,2025-11-16 02:54:47,389.53,0.68,6.19,44.4,2.87,50.22,65.57,11.51,4,Live
Ujjain - Indore Road,23.18,75.81,2025-11-16 02:54:47,357.54,0.56,5.1,58.86,3.08,46.4,60.48,10.02,3,Live
Ujjain - Industrial Area,23.22,75.8,2025-11-16 02:54:47,390.53,0.77,6.32,41.96,2.75,49.19,64.03,11.8,3,Live
Ujjain - Railway Station,23.19,75.79,2025-11-16 02:54:47,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Jaisinghpura,23.2,75.79,2025-11-16 02:54:47,389.53,0.68,6.19,44.4,2.87,50.22,65.57,11.51,4,Live
Ujjain - Gopal Mandir,23.18,75.79,2025-11-16 02:54:47,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Dewas - City Center,22.97,76.05,2025-11-16 02:54:47,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Industrial Area,22.95,76.07,2025-11-16 02:54:47,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Uday Nagar,23.01,76.09,2025-11-16 02:54:47,360.24,0.62,5.2,56.36,3.01,45.87,59.53,10.31,3,Live
Dewas - Station Road,22.97,76.06,2025-11-16 02:54:47,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - A.B. Road,22.96,76.07,2025-11-16 02:54:47,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Rajendra Nagar,22.98,76.05,2025-11-16 02:54:47,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Bavlia,22.95,76.1,2025-11-16 02:54:47,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Bhopal Road,22.99,76.08,2025-11-16 02:54:47,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Meera Nagar,22.96,76.04,2025-11-16 02:54:47,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Kailash Nagar,22.95,76.05,2025-11-16 02:54:47,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Hatpipliya Road,22.93,76.07,2025-11-16 02:54:47,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Kalani Nagar,22.97,76.09,2025-11-16 02:54:47,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Indore - MG Road,22.718,75.847,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Vijay Nagar,22.735,75.88,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - AB Road,22.726,75.889,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Rau,22.74,75.83,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Palasia,22.72,75.88,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Rajwada,22.7196,75.855,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Airport Road,22.72,75.8,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Bhawarkua,22.72,75.84,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Annapurna,22.7,75.86,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Sanwer Road Industrial,22.79,75.84,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Ring Road,22.74,75.88,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - CAT Road,22.78,75.86,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Indore - Mhow Naka,22.69,75.87,2025-11-16 03:18:29,293.61,0.15,2.75,91.4,3.71,40.82,53.37,6.57,3,Live
Bhopal - MP Nagar,23.238,77.4125,2025-11-16 03:18:29,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Habibganj,23.26,77.398,2025-11-16 03:18:29,341.15,0.33,3.34,64.91,2.03,41.83,50.65,9.69,3,Live
Bhopal - Arera Hills,23.251,77.412,2025-11-16 03:18:29,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Ayodhya Bypass,23.267,77.435,2025-11-16 03:18:29,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Lalghati,23.285,77.383,2025-11-16 03:18:29,341.15,0.33,3.34,64.91,2.03,41.83,50.65,9.69,3,Live
Bhopal - Kolar Road,23.2,77.43,2025-11-16 03:18:29,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Bairagarh,23.29,77.36,2025-11-16 03:18:29,341.15,0.33,3.34,64.91,2.03,41.83,50.65,9.69,3,Live
Bhopal - Govindpura Industrial,23.26,77.47,2025-11-16 03:18:29,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Misrod,23.2,77.49,2025-11-16 03:18:29,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - BHEL Area,23.27,77.49,2025-11-16 03:18:29,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Shahpura,23.21,77.43,2025-11-16 03:18:29,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Piplani,23.25,77.48,2025-11-16 03:18:29,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Bhopal - Ashoka Garden,23.27,77.42,2025-11-16 03:18:29,326.31,0.21,2.64,73.36,2.23,42.35,50.8,9.46,3,Live
Ujjain - Freeganj,23.18,75.78,2025-11-16 03:18:29,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Nanakheda,23.16,75.79,2025-11-16 03:18:29,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Mahakal,23.18,75.77,2025-11-16 03:18:29,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Dewas Gate,23.19,75.79,2025-11-16 03:18:29,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Vikram Nagar,23.2,75.82,2025-11-16 03:18:29,390.53,0.77,6.32,41.96,2.75,49.19,64.03,11.8,3,Live
Ujjain - Engineering College Road,23.21,75.82,2025-11-16 03:18:29,390.53,0.77,6.32,41.96,2.75,49.19,64.03,11.8,3,Live
Ujjain - Agar Road,23.21,75.78,2025-11-16 03:18:29,389.53,0.68,6.19,44.4,2.87,50.22,65.57,11.51,4,Live
Ujjain - Indore Road,23.18,75.81,2025-11-16 03:18:29,357.54,0.56,5.1,58.86,3.08,46.4,60.48,10.02,3,Live
Ujjain - Industrial Area,23.22,75.8,2025-11-16 03:18:29,390.53,0.77,6.32,41.96,2.75,49.19,64.03,11.8,3,Live
Ujjain - Railway Station,23.19,75.79,2025-11-16 03:18:29,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Ujjain - Jaisinghpura,23.2,75.79,2025-11-16 03:18:29,389.53,0.68,6.19,44.4,2.87,50.22,65.57,11.51,4,Live
Ujjain - Gopal Mandir,23.18,75.79,2025-11-16 03:18:29,354.84,0.5,5.01,61.35,3.15,46.93,61.43,9.73,3,Live
Dewas - City Center,22.97,76.05,2025-11-16 03:18:29,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Industrial Area,22.95,76.07,2025-11-16 03:18:29,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Uday Nagar,23.01,76.09,2025-11-16 03:18:29,360.24,0.62,5.2,56.36,3.01,45.87,59.53,10.31,3,Live
Dewas - Station Road,22.97,76.06,2025-11-16 03:18:29,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - A.B. Road,22.96,76.07,2025-11-16 03:18:29,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Rajendra Nagar,22.98,76.05,2025-11-16 03:18:29,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Bavlia,22.95,76.1,2025-11-16 03:18:29,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Bhopal Road,22.99,76.08,2025-11-16 03:18:29,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Meera Nagar,22.96,76.04,2025-11-16 03:18:29,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Kailash Nagar,22.95,76.05,2025-11-16 03:18:29,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Hatpipliya Road,22.93,76.07,2025-11-16 03:18:29,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Dewas - Kalani Nagar,22.97,76.09,2025-11-16 03:18:29,329.57,0.38,3.97,72.81,3.39,43.59,56.57,8.57,3,Live
Indore - MG Road,22.718,75.847,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - Vijay Nagar,22.735,75.88,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - AB Road,22.726,75.889,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - Rau,22.74,75.83,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - Palasia,22.72,75.88,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - Rajwada,22.7196,75.855,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - Airport Road,22.72,75.8,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - Bhawarkua,22.72,75.84,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - Annapurna,22.7,75.86,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - Sanwer Road Industrial,22.79,75.84,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - Ring Road,22.74,75.88,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - CAT Road,22.78,75.86,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Indore - Mhow Naka,22.69,75.87,2025-11-16 06:50:12,237.98,0.11,0.83,139.2,5.22,33.58,42.31,3.88,3,Live
Bhopal - MP Nagar,23.238,77.4125,2025-11-16 06:50:12,259.21,0.1,0.77,146.34,7.01,39.75,48.56,4.54,4,Live
Bhopal - Habibganj,23.26,77.398,2025-11-16 06:50:12,264.06,0.1,0.82,145.78,6.76,40.12,49.28,4.62,4,Live
Bhopal - Arera Hills,23.251,77.412,2025-11-16 06:50:12,259.21,0.1,0.77,146.34,7.01,39.75,48.56,4.54,4,Live
Bhopal - Ayodhya Bypass,23.267,77.435,2025-11-16 06:50:12,259.21,0.1,0.77,146.34,7.01,39.75,48.56,4.54,4,Live
Bhopal - Lalghati,23.285,77.383,2025-11-16 06:50:12,264.06,0.1,0.82,145.78,6.76,40.12,49.28,4.62,4,Live
Bhopal - Kolar Road,23.2,77.43,2025-11-16 06:50:12,259.21,0.1,0.77,146.34,7.01,39.75,48.56,4.54,4,Live
Bhopal - Bairagarh,23.29,77.36,2025-11-16 06:50:12,264.06,0.1,0.82,145.78,6.76,40.12,49.28,4.62,4,Live
Bhopal - Govindpura Industrial,23.26,77.47,2025-11-16 06:50:12,259.21,0.1,0.77,146.34,7.01,39.75,48.56,4.54,4,Live
Bhopal - Misrod,23.2,77.49,2025-11-16 06:50:12,259.21,0.1,0.77,146.34,7.01,39.75,48.56,4.54,4,Live
Bhopal - BHEL Area,23.27,77.49,2025-11-16 06:50:12,259.21,0.1,0.77,146.34,7.01,39.75,48.56,4.54,4,Live
Bhopal - Shahpura,23.21,77.43,2025-11-16 06:50:12,259.21,0.1,0.77,146.34,7.01,39.75,48.56,4.54,4,Live
Bhopal - Piplani,23.25,77.48,2025-11-16 06:50:12,259.21,0.1,0.77,146.34,7.01,39.75,48.56,4.54,4,Live
Bhopal - Ashoka Garden,23.27,77.42,2025-11-16 06:50:12,259.21,0.1,0.77,146.34,7.01,39.75,48.56,4.54,4,Live
Ujjain - Freeganj,23.18,75.78,2025-11-16 06:50:12,289.32,0.15,1.11,133.31,5.75,43.29,54.81,5.95,3,Live
Ujjain - Nanakheda,23.16,75.79,2025-11-16 06:50:12,289.32,0.15,1.11,133.31,5.75,43.29,54.81,5.95,3,Live
Ujjain - Mahakal,23.18,75.77,2025-11-16 06:50:12,289.32,0.15,1.11,133.31,5.75,43.29,54.81,5.95,3,Live
Ujjain - Dewas Gate,23.19,75.79,2025-11-16 06:50:12,289.32,0.15,1.11,133.31,5.75,43.29,54.81,5.95,3,Live
Ujjain - Vikram Nagar,23.2,75.82,2025-11-16 06:50:12,306.67,0.16,1.2,135.5,6.14,46.49,58.71,6.41,3,Live
Ujjain - Engineering College Road,23.21,75.82,2025-11-16 06:50:12,306.67,0.16,1.2,135.5,6.14,46.49,58.71,6.41,3,Live
Ujjain - Agar Road,23.21,75.78,2025-11-16 06:50:12,314.25,0.17,1.25,131.07,6.16,48.05,60.84,6.96,3,Live
Ujjain - Indore Road,23.18,75.81,2025-11-16 06:50:12,283.34,0.14,1.08,136.79,5.83,42.19,53.25,5.55,3,Live
Ujjain - Industrial Area,23.22,75.8,2025-11-16 06:50:12,306.67,0.16,1.2,135.5,6.14,46.49,58.71,6.41,3,Live
Ujjain - Railway Station,23.19,75.79,2025-11-16 06:50:12,289.32,0.15,1.11,133.31,5.75,43.29,54.81,5.95,3,Live
Ujjain - Jaisinghpura,23.2,75.79,2025-11-16 06:50:12,314.25,0.17,1.25,131.07,6.16,48.05,60.84,6.96,3,Live
Ujjain - Gopal Mandir,23.18,75.79,2025-11-16 06:50:12,289.32,0.15,1.11,133.31,5.75,43.29,54.81,5.95,3,Live
Dewas - City Center,22.97,76.05,2025-11-16 06:50:12,255.98,0.12,0.94,140.59,5.69,37.25,46.77,4.45,4,Live
Dewas - Industrial Area,22.95,76.07,2025-11-16 06:50:12,255.98,0.12,0.94,140.59,5.69,37.25,46.77,4.45,4,Live
Dewas - Uday Nagar,23.01,76.09,2025-11-16 06:50:12,277.34,0.14,1.05,140.28,5.91,41.09,51.68,5.14,4,Live
Dewas - Station Road,22.97,76.06,2025-11-16 06:50:12,255.98,0.12,0.94,140.59,5.69,37.25,46.77,4.45,4,Live
Dewas - A.B. Road,22.96,76.07,2025-11-16 06:50:12,255.98,0.12,0.94,140.59,5.69,37.25,46.77,4.45,4,Live
Dewas - Rajendra Nagar,22.98,76.05,2025-11-16 06:50:12,255.98,0.12,0.94,140.59,5.69,37.25,46.77,4.45,4,Live
Dewas - Bavlia,22.95,76.1,2025-11-16 06:50:12,255.98,0.12,0.94,140.59,5.69,37.25,46.77,4.45,4,Live
